repo,distinct_hips_merged,matched_prs,total_prs
hiero-ledger/hiero-consensus-node,37,223,4941
hiero-ledger/hiero-mirror-node,35,193,3498
hiero-ledger/hiero-sdk-go,14,24,460
hiero-ledger/solo,13,13,2290
hiero-ledger/hiero-sdk-js,13,36,1034
hiero-ledger/hiero-sdk-java,13,27,568
hiero-ledger/hiero-sdk-cpp,13,15,489
hiero-ledger/hiero-sdk-swift,12,14,134
hiero-ledger/hiero-json-rpc-relay,11,12,1286
hiero-ledger/hiero-mirror-node-explorer,11,16,990
hiero-ledger/hiero-sdk-rust,9,9,272
hiero-ledger/sdk-collaboration-hub,9,25,174
hiero-ledger/hiero-sdk-python,5,5,1019
hiero-ledger/hiero-block-node,4,8,1528
hiero-ledger/hiero-website,4,4,334
hiero-ledger/hiero-contracts,4,4,76
hiero-ledger/governance,3,3,538
hiero-ledger/hiero-sdk-tck,3,2,260
hiero-ledger/hiero-cli,2,2,558
hiero-ledger/tsc,2,2,144
hiero-ledger/hiero-local-node,1,2,266
hiero-ledger/hiero-docs,1,1,54
hiero-ledger/hiero-gradle-conventions,0,0,394
hiero-ledger/hiero-cryptography,0,0,361
hiero-ledger/hiero-enterprise-java,0,0,186
hiero-ledger/solo-docs,0,0,163
hiero-ledger/hiero-hederium,0,0,109
hiero-ledger/heka-identity-platform,0,0,100
hiero-ledger/homebrew-tools,0,0,79
hiero-ledger/hiero,0,0,78
hiero-ledger/hiero-solo-action,0,0,72
hiero-ledger/.github,0,0,54
hiero-ledger/hiero-did-sdk-js,0,0,54
hiero-ledger/hiero-did-sdk-python,0,0,45
hiero-ledger/hiero-consensus-specifications,0,0,28
hiero-ledger/awesome-contributions,0,0,16
hiero-ledger/tsc-eligibility-check,0,0,12
hiero-ledger/identity-collaboration-hub,0,0,11
hiero-ledger/hiero-ethereum-execution-spec-tests,0,0,3
